Concentración,Conductividad Molar
0.1,0.0118877551020408
0.5,0.00681632653061225
1.0,0.00492857142857143
4.9,0.00231632653061224
9.8,0.0016530612244898
49.0,0.000748979591836735
98.0,0.000530612244897959
