AJUSTE PARAMETROS
GENESYS 10S UV-Vis v4.003 2L5P336007

"Barrido,""11:12am 12Jun18"""
"Nombre An lisis,""ESPEC10min"""
"Modo de medici¢n,""Absorbancia"""
"L.O. de inicio,""200.0nm"""
"L.O. final,""1100.0nm"""
"Posicionador de Muestras,""Aut. 6"""
"Velocidad de Barrido,""R pido"""
"Intervalo,""1.0nm"""
"Correcci¢n de Celdas,""Apag."""
"#ID (0=OFF),""1"""
"Auto Almacenamiento,""Apag."""


# ID,1
"L. de onda,""Abs"""
559.0,-0.024
560.0,-0.025
561.0,-0.025
562.0,-0.027
563.0,-0.026
564.0,-0.028
565.0,-0.029
566.0,-0.030
567.0,-0.030
568.0,-0.030
569.0,-0.031
570.0,-0.031
571.0,-0.032
572.0,-0.032
573.0,-0.033
574.0,-0.033
575.0,-0.034
576.0,-0.034
577.0,-0.034
578.0,-0.034
579.0,-0.035
580.0,-0.035
581.0,-0.035
582.0,-0.036
583.0,-0.036
584.0,-0.036
585.0,-0.037
586.0,-0.037
587.0,-0.038
588.0,-0.038
589.0,-0.038
590.0,-0.038
591.0,-0.039
592.0,-0.039
593.0,-0.039
594.0,-0.039
595.0,-0.039
596.0,-0.040
597.0,-0.040
598.0,-0.040
599.0,-0.040
600.0,-0.039
601.0,-0.041
602.0,-0.041
603.0,-0.041
604.0,-0.042
605.0,-0.042
606.0,-0.042
607.0,-0.042
608.0,-0.041
609.0,-0.042
610.0,-0.044
611.0,-0.043
612.0,-0.042
613.0,-0.042
614.0,-0.042
615.0,-0.043
616.0,-0.044
617.0,-0.044
618.0,-0.044
619.0,-0.045
620.0,-0.043
621.0,-0.043
622.0,-0.043
623.0,-0.044
624.0,-0.044
625.0,-0.045
626.0,-0.046
627.0,-0.045
628.0,-0.045
629.0,-0.045
630.0,-0.044
631.0,-0.044
632.0,-0.046
633.0,-0.046
634.0,-0.046
635.0,-0.046
636.0,-0.046
637.0,-0.046
638.0,-0.046
639.0,-0.046
640.0,-0.046
641.0,-0.046
642.0,-0.046
643.0,-0.047
644.0,-0.047
645.0,-0.047
646.0,-0.047
647.0,-0.046
648.0,-0.048
649.0,-0.047
650.0,-0.047
651.0,-0.048
652.0,-0.048
653.0,-0.048
654.0,-0.047
655.0,-0.048
656.0,-0.048
657.0,-0.049
658.0,-0.048
659.0,-0.048
660.0,-0.048
661.0,-0.047
662.0,-0.047
663.0,-0.048
664.0,-0.049
665.0,-0.049
666.0,-0.050
667.0,-0.051
668.0,-0.049
669.0,-0.049
670.0,-0.050
671.0,-0.049
672.0,-0.049
673.0,-0.049
674.0,-0.049
675.0,-0.049
676.0,-0.049
677.0,-0.050
678.0,-0.050
679.0,-0.050
680.0,-0.050
681.0,-0.050
682.0,-0.049
683.0,-0.049
684.0,-0.049
685.0,-0.049
686.0,-0.049
687.0,-0.051
688.0,-0.050
689.0,-0.051
690.0,-0.050
691.0,-0.050
692.0,-0.051
693.0,-0.050
694.0,-0.051
695.0,-0.051
696.0,-0.051
697.0,-0.052
698.0,-0.052
699.0,-0.051
700.0,-0.051
701.0,-0.050
702.0,-0.049
703.0,-0.050
704.0,-0.050
705.0,-0.051
706.0,-0.050
707.0,-0.051
708.0,-0.052
709.0,-0.051
710.0,-0.050
711.0,-0.052
712.0,-0.051
713.0,-0.051
714.0,-0.052
715.0,-0.051
716.0,-0.052
717.0,-0.049
718.0,-0.051
719.0,-0.050
720.0,-0.051
721.0,-0.052
722.0,-0.051
723.0,-0.052
724.0,-0.052
725.0,-0.051
726.0,-0.052
727.0,-0.052
728.0,-0.051
729.0,-0.052
730.0,-0.051
731.0,-0.052
732.0,-0.051
733.0,-0.051
734.0,-0.052
735.0,-0.053
736.0,-0.051
737.0,-0.052
738.0,-0.053
739.0,-0.053
740.0,-0.053
741.0,-0.053
742.0,-0.053
743.0,-0.054
744.0,-0.053
745.0,-0.055
746.0,-0.054
747.0,-0.053
748.0,-0.055
749.0,-0.055
750.0,-0.054
751.0,-0.054
752.0,-0.054
753.0,-0.055
754.0,-0.054
755.0,-0.053
756.0,-0.054
757.0,-0.054
758.0,-0.053
759.0,-0.052
760.0,-0.053
761.0,-0.053
762.0,-0.053
763.0,-0.052
764.0,-0.053
765.0,-0.053
766.0,-0.052
767.0,-0.052
768.0,-0.052
769.0,-0.052
770.0,-0.053
771.0,-0.052
772.0,-0.052
773.0,-0.053
774.0,-0.054
775.0,-0.052
776.0,-0.052
777.0,-0.053
778.0,-0.053
779.0,-0.052
780.0,-0.052
781.0,-0.052
782.0,-0.053
783.0,-0.052
784.0,-0.052
785.0,-0.053
786.0,-0.051
787.0,-0.053
788.0,-0.054
789.0,-0.053
790.0,-0.054
791.0,-0.052
792.0,-0.053
793.0,-0.053
794.0,-0.052
795.0,-0.054
796.0,-0.052
797.0,-0.053
798.0,-0.051
799.0,-0.052
800.0,-0.053
801.0,-0.052
802.0,-0.052
803.0,-0.052
804.0,-0.052
805.0,-0.053
806.0,-0.053
807.0,-0.052
808.0,-0.053
809.0,-0.053
810.0,-0.052
